 VEHICLE-TYPE        AVG-RENT           VEHICLE-MODEL
 SYDENS                1700       VERNA,AURA,DEZIRE,E-CLASS
 S.U.V                 1900       SCORPIO,XUV500,MU-X,SAFARI
 MINI VANS             2100       TAVERA,EECO,VENTURE,CARNIVAL
 HATCH BACKS           1400       BALENO,I20,NEXON,A-CLASS
 OFF-ROAD VECHICLES    2000       WRANGLER,THAR,COLARODO,VELLAR
 MINI BUSES            2500       STAR-LINE,TRAVELLER
 BICYCLES              50         LADIES-CYCLE,GENTS-CYCLE
 BIKES                 200        SPLENDER,PULSER,CLASSIC-350,DUKE-390
 SCOOTIES              120        ACTIVA,JUPITER
 BUSES                 3000       VOLVO-5000,TATA-G3-AMT,EICHER-STARLINE
 VANS                  2400       OMNI,HAICE,V-CLASS
 PICK-UP TRUCKS        2300       SCROPIO-PICK-UP,D-MAX,RANGER-RAPTOR,SILVERADO-2500
